"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25"
"1","school","new","work","go","00","mask","test","case","peopl","state","go","one","will","presid","china","will","know","will","peopl","thank","can","travel","nhs","vaccin","test"
"2","will","see","australian","countri","canadian","can","need","00","go","need","peopl","data","busi","test","said","new","peopl","take","will","peopl","think","state","care","work","state"
"3","work","ventil","state","day","canada","suppli","now","just","countri","make","presid","think","support","american","countri","countri","01","us","home","support","get","case","thank","know","go"
"4","go","york","get","state","need","state","can","new","make","can","think","differ","also","thank","make","compani","border","day","want","can","go","spread","hospit","00","want"
"5","children","state","go","see","help","work","one","level","get","call","want","just","make","coronavirus","deal","hospit","virus","countri","live","scheme","thing","china","import","year","governor"
"6","student","hospit","minist","everi","french","go","question","health","virus","governor","lot","see","announc","go","billion","york","countri","come","go","countri","will","health","peopl","trial","phase"
"7","come","just","can","american","work","get","work","peopl","question","crosstalk","say","distanc","job","peopl","use","nation","make","health","social","busi","want","unit","make","make","open"
"8","keep","governor","import","new","peopl","day","number","zealand","back","01","like","like","govern","just","ventil","thing","back","now","need","protect","right","american","home","thank","capac"
"9","learn","said","territori","worker","continu","healthcar","day","minist","day","ventil","know","protect","provid","state","us","american","lot","time","protect","say","need","virus","death","develop","will"
"10","back","know","australia","coronavirus","foreign","use","week","care","number","one","now","case","ensur","work","great","medic","drug","keep","can","today","look","public","secretari","mr","abl"
"11","can","question","place","million","languag","now","first","three","deal","suppli","great","back","small","dr","good","need","deal","also","stay","job","said","communiti","cours","think","million"
"12","parent","peopl","issu","case","go","thank","across","also","realli","said","look","care","take","mr","open","state","ship","put","rule","data","well","dr","come","alreadi","realli"
"13","educ","mitig","cabinet","continu","get","also","countri","around","guidelin","work","get","public","next","health","help","incred","everi","continu","now","govern","realli","like","coronavirus","compani","lab"
"14","continu","also","nation","area","can","face","two","look","mean","ask","thank","new","well","vice","governor","fema","today","medic","measur","make","peopl","risk","much","start","dr"
"15","health","01","mean","health","minist","need","capac","facil","new","thing","just","know","billion","make","year","thank","forc","discuss","advic","live","just","low","absolut","fda","done"
"16","distanc","jersey","arrang","back","make","stay","use","number","talk","presid","mani","follow","help","let","call","help","secretari","plan","say","get","now","cdc","measur","also","slide"
"17","think","week","measur","know","keep","equip","see","crosstalk","bill","busi","talk","clear","today","lab","million","suppli","get","part","know","whether","see","infect","take","treatment","reopen"
"18","kid","care","thing","peopl","measur","new","avail","one","never","order","well","report","time","industri","number","week","come","abl","alreadi","economi","work","addit","also","clinic","laboratori"
"19","center","take","togeth","today","support","yesterday","lot","covid-19","busi","let","mr","understand","week","know","differ","day","continu","today","spread","put","number","prepar","slide","phase","thing"
"20","abl","dr","need","work","home","medic","system","well","now","want","one","chang","peopl","want","tell","today","call","seen","two","think","say","diseas","virus","meet","back"
"21","new","call","advic","look","govern","time","posit","inaud","close","way","much","actual","packag","said","want","great","said","famili","everybodi","mani","us","thank","clear","virus","guidelin"
"22","public","million","put","get","prime","protect","abl","continu","decis","know","good","come","access","avail","talk","call","coronavirus","last","individu","just","ask","action","way","prepar","care"
"23","activ","realli","case","thousand","safe","pandem","well","mani","thing","today","time","learn","employ","also","start","care","agre","follow","group","chancellor","time","world","got","togeth","continu"
"24","place","job","particular","call","provinc","question","talk","advic","15","sure","american","level","economi","everi","world","also","mexico","everi","close","econom","sure","coronavirus","govern","therapeut","next"
"25","teacher","mean","ensur","healthcar","countri","home","increas","got","data","everi","realli","health","last","us","unit","three","can","best","thank","yvonn","one","level","uk","use","alreadi"
"26","question","number","mani","communiti","mani","say","symptom","general","still","chain","done","infect","econom","great","state","tremend","nation","just","follow","provid","much","respons","question","fast","build"
"27","term","case","like","need","right","worker","second","contact","problem","tomorrow","pleas","respons","month","import","close","system","deploy","public","worker","million","countri","00","set","differ","first"
"28","take","seen","prime","dr","covid-19","treatment","even","expect","import","use","come","next","someth","fauci","done","equip","compani","decis","make","differ","week","itali","social","dr","vulner"
"29","govern","area","even","protect","across","product","pleas","age","open","just","happen","set","first","doctor","incred","local","yesterday","impact","ask","work","possibl","contain","ppe","media","earli"
"30","want","like","restrict","bank","time","wear","start","provid","stop","money","job","us","sure","america","case","go","announc","want","togeth","uk","like","restrict","answer","patient","machin"
"31","posit","test","today","posit","question","ask","import","four","two","inform","take","look","give","public","bed","job","depart","expert","servic","crisi","actual","care","mani","two","new"
"32","year","fauci","relat","vote","know","help","say","covid","dr","right","way","line","move","home","ago","approv","guard","concern","take","us","good","talk","peak","month","togeth"
"33","obvious","model","way","billion","look","recommend","part","alert","said","unit","right","inform","respons","condit","trade","feder","protect","challeng","keep","pay","tri","secretari","right","flu","team"
"34","parliament","sir","school","per","abl","nurs","swab","today","watch","admir","thing","show","tax","yesterday","democrat","ventil","oper","one","mani","local","way","close","patrick","case","time"
"35","last","let","virus","move","will","tri","enough","make","lot","direct","big","issu","financi","today","hospit","happen","inaud","nation","contact","help","place","govern","first","one","flu"
"36","understand","think","now","nation","sure","cover","support","home","everi","addit","even","number","now","commerci","safe","work","report","end","gather","quick","done","south","staff","technolog","america"
"37","safe","send","chang","organ","week","militari","current","yeah","period","get","work","happen","payment","around","border","ever","direct","signific","distanc","togeth","point","said","health","drug","everi"
"38","respons","want","consid","want","forward","chang","infect","hospit","rate","ban","ahead","social","measur","cruis","relationship","unit","take","alreadi","difficult","place","next","measur","patient","call","said"
"39","practic","militari","coronavirus","keep","way","make","ahead","made","ago","small","governor","find","particular","hous","compani","ship","defens","back","household","chariti","back","local","made","crosstalk","great"
"40","famili","next","term","us","ensur","happen","rate","staff","came","person","got","medic","incom","made","cut","much","militari","process","cours","commit","differ","leader","minist","today","see"
"41","busi","oil","decis","provid","recogn","profession","essenti","can","hous","american","also","four","face","speak","busi","thousand","two","see","possibl","day","question","depart","begin","million","know"
"42","communiti","louisiana","communiti","food","stay","order","like","inform","see","find","nobodi","last","benefit","individu","thousand","act","group","announc","support","hospit","yes","aggress","across","first","put"
"43","deal","30","support","guidelin","thank","place","trace","may","worker","went","world","virus","impact","sure","happi","world","concern","point","messag","cash","everi","profession","term","ago","nurs"
"44","home","citi","month","across","worker","stockpil","get","updat","hand","team","everybodi","alway","emerg","protect","thought","governor","million","other","day","futur","might","outbreak","capac","toni","surveil"
"45","okay","readi","around","three","emerg","number","high","come","birx","issu","made","good","focus","inform","along","center","secur","assur","well","loan","use","individu","second","safe","health"
"46","servic","fema","area","sure","thing","manufactur","may","sure","soon","worker","yeah","might","part","well","yes","worker","iran","resourc","risk","everyth","start","market","chris","abl","just"
